	Occupation	BorrowerAPR	LoanOriginalAmount	DebtToIncomeRatio
0	Accountant/CPA	0.209616282091	29730307	0.244576659039
1	Administrative Assistant	0.240702329176	24336721	0.301844415986
2	Analyst	0.201380155469	32997092	0.220411131171
3	Architect	0.195101079812	2078643	0.27645
4	Attorney	0.193614397706	11824987	0.220577576444
5	Biologist	0.2112472	1053553	0.229674796748
6	Bus Driver	0.242232594937	2145321	0.305016393443
7	Car Dealer	0.2179915	1677643	0.243935483871
8	Chemist	0.209147931034	1285825	0.241944444444
9	Civil Service	0.222593809197	12921969	0.251679336558
10	Clergy	0.222647193878	1559809	0.274010989011
11	Clerical	0.237873144753	18885763	0.323796116505
12	Computer Programmer	0.191962251005	42186755	0.200021156559
13	Construction	0.217085005587	16623959	0.274100475221
14	Dentist	0.207286911765	742250	0.215535714286
15	Doctor	0.185323987854	6479131	0.22430875576
16	Engineer - Chemical	0.1906952	2436993	0.196036036036
17	Engineer - Electrical	0.1943052	11094453	0.204396709324
18	Engineer - Mechanical	0.201396394026	13565844	0.211370967742
19	Executive	0.202248997912	51260276	0.211423593828
20	Fireman	0.212488104265	3982439	0.22543062201
21	Flight Attendant	0.229509268293	907915	0.350325203252
22	Food Service	0.239987889581	6453832	0.337961460446
23	Food Service Management	0.222011154157	9948358	0.279142857143
24	Homemaker	0.22369875	634770	2.01545454545
25	Investor	0.226975	1874812	0.170151515152
26	Judge	0.177658636364	322400	0.207272727273
27	Laborer	0.239459360502	10413857	0.292282537606
28	Landscaping	0.226081186441	1670843	0.257259259259
29	Medical Technician	0.225722059087	8564781	0.260700460829
30	Military Enlisted	0.234243820755	9207503	0.294285714286
31	Military Officer	0.200963265896	3168904	0.258651026393
32	Nurse (LPN)	0.235699735772	3877061	0.287221052632
33	Nurse (RN)	0.211448617919	26337044	0.255055169595
34	Nurse's Aide	0.247862505092	2811314	0.348464912281
35	Other	0.225288354824	223357381	0.323578922061
36	Pharmacist	0.189142178988	3560418	0.20612
37	Pilot - Private/Commercial	0.192875326633	2271812	0.219170984456
38	Police Officer/Correction Officer	0.221124980989	15210446	0.245193650794
39	Postal Service	0.226169505582	5094234	0.272977346278
40	Principal	0.208051794872	3736675	0.295360824742
41	Professional	0.214782383328	125610445	0.233971543458
42	Professor	0.196099964093	5522606	0.252574074074
43	Psychologist	0.202367241379	1327685	0.336216216216
44	Realtor	0.21605267035	4556048	0.330239520958
45	Religious	0.22816233871	793601	0.3107
46	Retail Management	0.22572972329	21508736	0.272300281012
47	Sales - Commission	0.218562809054	30198015	0.257733908427
48	Sales - Retail	0.237255244905	17809918	0.313805601318
49	Scientist	0.1954175	3334376	0.232333333333
50	Skilled Labor	0.224069155135	20546366	0.243217324053
51	Social Worker	0.223067246964	5551664	0.269662921348
52	Student - College Freshman	0.243218780488	131511	0.225757575758
53	Student - College Graduate Student	0.199222122449	1119733	0.751546391753
54	Student - College Junior	0.208563035714	345121	0.633908045977
55	Student - College Senior	0.204185744681	667059	1.01569444444
56	Student - College Sophomore	0.231637246377	198680	0.301428571429
57	Student - Community College	0.223904642857	107513	0.933913043478
58	Student - Technical School	0.22058375	61500	1.15615384615
59	Teacher	0.220388478319	29648926	0.304624724062
60	Teacher's Aide	0.253311268116	1356229	0.516615384615
61	Tradesman - Carpenter	0.22238725	873176	0.323670886076
62	Tradesman - Electrician	0.212646331237	4579430	0.221822125813
63	Tradesman - Mechanic	0.220656109359	8224884	0.235488215488
64	Tradesman - Plumber	0.21364	790139	0.21032967033
65	Truck Driver	0.226725480597	13702484	0.271237656353
66	Waiter/Waitress	0.23886337156	2332622	0.425669291339
